Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-07-01","410","33","20","448"
"2015-07-02","428","25","13","454"
"2015-07-03","484","33","18","522"
"2015-07-04","491","20","11","514"
"2015-07-05","300","26","10","338"
"2015-07-06","379","28","16","412"
"2015-07-07","433","14","12","452"
"2015-07-08","349","22","12","380"
"2015-07-09","347","6","5","364"
"2015-07-10","405","31","14","439"
"2015-07-11","289","15","8","329"
"2015-07-12","307","19","13","354"
"2015-07-13","359","13","9","375"
"2015-07-14","382","26","16","418"
"2015-07-15","447","23","19","475"
"2015-07-16","369","23","13","405"
"2015-07-17","310","24","14","349"
"2015-07-18","453","35","24","488"
"2015-07-19","414","17","11","437"
"2015-07-20","366","28","18","409"
"2015-07-21","382","20","13","426"
"2015-07-22","407","13","8","432"
"2015-07-23","363","13","9","388"
"2015-07-24","400","16","7","416"
"2015-07-25","500","13","11","521"
"2015-07-26","330","11","8","349"
"2015-07-27","366","30","21","404"
"2015-07-28","372","22","18","411"
"2015-07-29","442","4","4","452"
"2015-07-30","437","33","25","488"
"2015-07-31","297","4","5","306"

