Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-08-01","473","24","13","503"
"2015-08-02","459","23","17","493"
"2015-08-03","260","16","7","280"
"2015-08-04","497","6","7","510"
"2015-08-05","373","40","19","419"
"2015-08-06","476","17","18","503"
"2015-08-07","318","12","13","334"
"2015-08-08","620","13","12","637"
"2015-08-09","472","13","11","491"
"2015-08-10","410","24","15","441"
"2015-08-11","423","14","13","447"
"2015-08-12","349","7","7","364"
"2015-08-13","209","7","8","218"
"2015-08-14","453","27","15","495"
"2015-08-15","381","12","7","397"
"2015-08-16","212","1","3","215"
"2015-08-17","450","17","14","478"
"2015-08-18","371","7","10","398"
"2015-08-19","466","14","13","493"
"2015-08-20","445","34","16","483"
"2015-08-21","237","7","8","247"
"2015-08-22","451","13","10","479"
"2015-08-23","180","14","8","198"
"2015-08-24","400","17","13","423"
"2015-08-25","413","17","13","447"
"2015-08-26","397","14","9","419"
"2015-08-27","332","12","10","350"
"2015-08-28","400","24","16","425"
"2015-08-29","449","11","13","470"
"2015-08-30","196","7","5","208"
"2015-08-31","497","26","16","539"

