Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2015-08-01","3,295","18,215","8.35","75","524","300","66","47","1,989"
"2015-08-02","3,484","21,798","10","130","507","344","56","40","2,197"
"2015-08-03","3,073","18,521","8.49","81","692","198","59","63","1,673"
"2015-08-04","2,768","12,549","5.75","40","661","194","35","40","1,298"
"2015-08-05","2,862","13,106","6.01","44","699","286","17","19","1,446"
"2015-08-06","2,900","14,262","6.54","46","621","187","56","53","1,478"
"2015-08-07","3,718","26,832","12.34","46","557","275","97","82","2,420"
"2015-08-08","3,099","18,616","8.54","9","517","205","77","44","1,695"
"2015-08-09","2,925","14,485","6.64","38","597","223","25","44","1,462"
"2015-08-10","2,755","10,787","4.95","48","725","223","19","32","1,269"
"2015-08-11","3,144","17,304","7.95","54","647","253","46","47","1,736"
"2015-08-12","3,127","16,393","7.52","49","734","238","63","41","1,720"
"2015-08-13","2,937","9,764","4.48","38","939","245","12","26","1,314"
"2015-08-14","2,949","14,749","6.76","47","656","217","26","46","1,465"
"2015-08-15","3,556","20,051","9.19","42","583","356","63","41","2,206"
"2015-08-16","3,480","14,962","6.88","38","804","344","41","36","2,017"
"2015-08-17","2,872","13,674","6.27","52","687","187","46","42","1,400"
"2015-08-18","3,262","17,167","8.25","71","715","226","30","71","1,781"
"2015-08-19","2,953","13,406","6.15","51","642","211","67","27","1,508"
"2015-08-20","2,610","9,165","4.2","33","711","214","15","17","1,084"
"2015-08-21","2,334","5,699","2.61","15","760","135","7","16","704"
"2015-08-22","2,949","11,557","5.3","40","608","317","6","30","1,555"
"2015-08-23","3,855","24,676","11.32","37","733","338","90","81","2,541"
"2015-08-24","3,246","15,945","7.31","62","598","317","68","34","1,944"
"2015-08-25","2,992","14,322","6.57","49","647","299","25","22","1,597"
"2015-08-26","2,739","9,964","4.6","22","720","278","11","12","1,301"
"2015-08-27","2,860","11,717","5.37","26","803","228","20","39","1,343"
"2015-08-28","3,042","16,389","7.52","39","714","197","25","79","1,583"
"2015-08-29","2,980","13,555","6.22","76","613","222","44","56","1,549"
"2015-08-30","3,261","16,825","7.72","103","593","400","24","20","1,999"
"2015-08-31","2,710","11,378","5.22","44","639","211","27","24","1,235"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-08-01","473","24","13","503"
"2015-08-02","459","23","17","493"
"2015-08-03","260","16","7","280"
"2015-08-04","497","6","7","510"
"2015-08-05","373","40","19","419"
"2015-08-06","476","17","18","503"
"2015-08-07","318","12","13","334"
"2015-08-08","620","13","12","637"
"2015-08-09","472","13","11","491"
"2015-08-10","410","24","15","441"
"2015-08-11","423","14","13","447"
"2015-08-12","349","7","7","364"
"2015-08-13","209","7","8","218"
"2015-08-14","453","27","15","495"
"2015-08-15","381","12","7","397"
"2015-08-16","212","1","3","215"
"2015-08-17","450","17","14","478"
"2015-08-18","371","7","10","398"
"2015-08-19","466","14","13","493"
"2015-08-20","445","34","16","483"
"2015-08-21","237","7","8","247"
"2015-08-22","451","13","10","479"
"2015-08-23","180","14","8","198"
"2015-08-24","400","17","13","423"
"2015-08-25","413","17","13","447"
"2015-08-26","397","14","9","419"
"2015-08-27","332","12","10","350"
"2015-08-28","400","24","16","425"
"2015-08-29","449","11","13","470"
"2015-08-30","196","7","5","208"
"2015-08-31","497","26","16","539"

