Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-10-01","426","20","16","449"
"2015-10-02","467","26","14","493"
"2015-10-03","488","21","17","511"
"2015-10-04","415","24","17","439"
"2015-10-05","398","20","12","420"
"2015-10-06","275","24","13","299"
"2015-10-07","434","21","15","455"
"2015-10-08","478","27","18","506"
"2015-10-09","328","20","13","348"
"2015-10-10","506","20","12","526"
"2015-10-11","310","11","11","322"
"2015-10-12","427","36","25","463"
"2015-10-13","155","15","10","170"
"2015-10-14","458","19","11","477"
"2015-10-15","409","27","14","436"
"2015-10-16","355","9","7","364"
"2015-10-17","420","16","11","436"
"2015-10-18","406","32","23","438"
"2015-10-19","390","29","18","419"
"2015-10-20","484","21","14","505"
"2015-10-21","439","27","18","466"
"2015-10-22","432","27","17","459"
"2015-10-23","457","16","14","473"
"2015-10-24","341","21","14","362"
"2015-10-25","451","17","8","468"
"2015-10-26","378","8","5","386"
"2015-10-27","422","16","10","438"
"2015-10-28","376","11","7","387"
"2015-10-29","475","26","19","501"
"2015-10-30","511","32","16","543"
"2015-10-31","286","16","10","302"

