Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-11-01","498","19","18","518"
"2015-11-02","384","9","9","400"
"2015-11-03","488","23","15","511"
"2015-11-04","417","25","15","442"
"2015-11-05","409","26","14","435"
"2015-11-06","368","7","7","375"
"2015-11-07","217","15","11","233"
"2015-11-08","269","16","7","285"
"2015-11-09","688","59","30","747"
"2015-11-10","482","36","19","518"
"2015-11-11","443","21","11","464"
"2015-11-12","497","16","13","513"
"2015-11-13","425","51","25","476"
"2015-11-14","404","24","17","433"
"2015-11-15","438","15","14","457"
"2015-11-16","374","23","20","399"
"2015-11-17","389","44","24","433"
"2015-11-18","247","22","9","269"
"2015-11-19","437","17","14","455"
"2015-11-20","386","27","17","422"
"2015-11-21","534","18","16","557"
"2015-11-22","469","22","12","491"
"2015-11-23","363","40","15","403"
"2015-11-24","169","13","10","183"
"2015-11-25","532","35","25","570"
"2015-11-26","264","14","9","278"
"2015-11-27","535","23","15","559"

