Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-06-01","0","0","0","0"
"2015-06-02","0","0","0","0"
"2015-06-03","0","0","0","0"
"2015-06-04","0","0","0","0"
"2015-06-05","0","0","0","0"
"2015-06-06","0","0","0","0"
"2015-06-07","0","0","0","0"
"2015-06-08","0","0","0","0"
"2015-06-09","0","0","0","0"
"2015-06-10","0","0","0","0"
"2015-06-11","0","0","0","0"
"2015-06-12","0","0","0","0"
"2015-06-13","191","6","6","206"
"2015-06-14","458","9","9","482"
"2015-06-15","327","21","15","354"
"2015-06-16","447","16","11","469"
"2015-06-17","442","17","11","465"
"2015-06-18","306","19","15","335"
"2015-06-19","434","7","6","449"
"2015-06-20","218","8","3","233"
"2015-06-21","516","19","13","538"
"2015-06-22","402","20","10","432"
"2015-06-23","409","17","11","428"
"2015-06-24","445","32","18","477"
"2015-06-25","368","14","7","384"
"2015-06-26","274","7","5","292"
"2015-06-27","469","20","9","489"
"2015-06-28","141","0","0","144"
"2015-06-29","353","4","4","363"
"2015-06-30","352","24","13","383"

