Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2015-09-01","428","18","14","453"
"2015-09-02","405","17","11","422"
"2015-09-03","348","8","7","359"
"2015-09-04","437","14","16","468"
"2015-09-05","293","6","8","320"
"2015-09-06","377","10","11","392"
"2015-09-07","376","21","18","400"
"2015-09-08","397","50","23","454"
"2015-09-09","234","13","6","249"
"2015-09-10","458","43","26","505"
"2015-09-11","389","17","12","412"
"2015-09-12","379","21","15","412"
"2015-09-13","472","30","17","514"
"2015-09-14","499","15","14","529"
"2015-09-15","403","15","12","425"
"2015-09-16","355","16","15","378"
"2015-09-17","390","4","5","412"
"2015-09-18","435","32","20","467"
"2015-09-19","316","42","22","358"
"2015-09-20","476","38","20","514"
"2015-09-21","439","33","20","472"
"2015-09-22","378","39","18","419"
"2015-09-23","370","12","5","382"
"2015-09-24","464","22","13","486"
"2015-09-25","451","24","11","475"
"2015-09-26","472","10","9","482"
"2015-09-27","341","38","21","379"
"2015-09-28","475","23","12","498"
"2015-09-29","396","51","27","447"
"2015-09-30","398","35","17","433"

